CMR Processing Modes	CMR-Verarbeitungsmodi
Different situations call for different types of CMRs. Some CMRs are created by product manufacturers so you can download and use them, while others are created by your printer or other color management software. If you have the appropriate information, you can also create CMRs yourself.	In unterschiedlichen Situationen sind unterschiedliche CMR-Typen erforderlich. Einige CMRs werden von den Herstellern erstellt. Deshalb können Sie sie herunterladen und einsetzen. Andere CMRs werden von einem Drucker oder sonstiger Farbmanagement-Software erstellt. Wenn Sie über die entsprechenden Informationen verfügen, können Sie CMRs auch selbst erstellen.
Color management resourcesTypes	FarbmanagementressourcenTypen
Some CMRs are used to interpret input files (similar to the function performed by ICC input profiles), while others are used to prepare the final print job output for a specific printer (similar to the function performed by ICC output profiles).	Einige CMRs dienen (ähnlich wie die Funktion, die von ICC-Eingabeprofilen ausgeführt wird) zum Interpretieren von Eingabedateien. Andere werden verwendet, um die endgültige Druckjobausgabe für einen bestimmten Drucker vorzubereiten (dies ähnelt der Funktion, die von ICC-Ausgabeprofilen ausgeführt wird).
Configuring line data transform steps	Schritte für Zeilendatenumwandlung konfigurieren
You can incorporate the line data transform into a workflow by adding a ConvertLineDataJobIntoAFP step, then configuring it appropriately. These workflows include the ConvertLineDataJobIntoAFP step: LineData and DownloadLineData.	Die Zeilendatenumwandlung kann in einen Workflow integriert werden, indem ein Schritt ConvertLineDataJobIntoAFP hinzugefügt und anschließend entsprechend konfiguriert wird. Die folgenden Workflows enthalten den Schritt ConvertLineDataJobIntoAFP: LineData und DownloadLineData.
line data, transformingtransform line data	Zeilendaten, UmwandlungZeilendaten umwandeln
To configure a line data transform step, you must define or edit a workflow that includes the step. If you define a workflow, use the ConvertLineDataJobIntoAFP step template to add a step to the workflow.	Zum Konfigurieren eines Schritts für die Zeilendatenumwandlung müssen Sie einen Workflow, der den Schritt enthält, definieren oder bearbeiten. Wenn Sie einen Workflow definieren, benutzen Sie die Schrittschablone ConvertLineDataJobIntoAFP, um dem Workflow einen Schritt hinzuzufügen.
After you have created a ConvertLineDataJobIntoAFP step, you can edit the job default properties that it sets.To configure a line data transform step:	Haben Sie den Schritt ConvertLineDataJobIntoAFP erstellt, können Sie die durch diesen Schritt festgelegten Standardmerkmale des Jobs bearbeiten.Gehen Sie wie folgt vor, um einen Schritt für die Zeilendatenumwandlung zu konfigurieren:
In the Workflow Objects portlet, click the Workflows tab.	Klicken Sie im Portlet Workflow-Objekte auf die Registerkarte Workflows.
Click the name of the workflow that you want to edit.	Klicken Sie auf den Namen des Workflows, den Sie bearbeiten möchten.
Disable the workflow.	Deaktivieren Sie den Workflow.
Disable the workflow by clicking the switch to the left of the workflow name.	Deaktivieren Sie den Workflow, indem Sie auf den Schalter links neben dem Workflow-Namen klicken.
If you do not disable the workflow while you edit it, jobs that use this workflow continue to move through steps. When you save, the workflow is momentarily disabled then enabled again. Jobs that are processing in the workflow could move into error.	Wenn Sie den Workflow während der Bearbeitung nicht deaktivieren, werden Jobs, die diesen Workflow verwenden, weiterhin durch die Schritte des Workflows geführt. Wenn Sie speichern, wird der Workflow vorübergehend deaktiviert und dann wieder aktiviert. Jobs, die in dem Workflow verarbeitet werden, könnten in eine fehlerhafte Situation geraten.
Right-click the ConvertLineDataJobIntoAFP step and select Properties.	Klicken Sie mit der rechten Maustaste auf den Schritt ConvertLineDataJobIntoAFP, und wählen Sie Merkmale aus.
You see the properties for the step.	Die Merkmale für den Schritt werden angezeigt.
Edit the properties of the step as needed.	Bearbeiten Sie die Merkmale des Schritts nach Bedarf.
Click the Open embedded assistance icon to open descriptions for the properties.	Klicken Sie auf die Schaltfläche zum Öffnen von Hilfetexten, um Beschreibungen der Merkmale aufzurufen.
For additional assistance determining the correct values for the fields, particularly in creating the external control file template, the valid return codes, and the .parmdd parameter file, see AFP Conversion and Indexing Facility User's Guide (G550-1342).The default file that displays in the External control file template field is only a sample file. You must edit it to fit your environment. During processing,  uses the template to create a control file for each job that passes through the step.	Weitere Hilfen beim Ermitteln der korrekten Werte für die Felder, insbesondere beim Erstellen der externen Steuerdateischablone, zu den gültigen Rückkehrcodes und zu der Parameterdatei .parmdd enthält das Buch AFP Conversion and Indexing Facility User's Guide (G550-1342).Die im Feld Externe Steuerdateischablone angezeigte Standarddatei ist nur eine Musterdatei. Diese Datei muss an die eigene Umgebung angepasst werden. Während der Verarbeitung benutzt  die Schablone zum Erstellen einer Steuerdatei für die einzelnen Jobs, die den Schritt durchlaufen.
When you finish editing the properties, click OK.	Ist die Bearbeitung der Merkmale abgeschlossen, klicken Sie auf OK.
Save and enable the workflow.	Speichern und aktivieren Sie den Workflow.
Halftones and Tone Transfer Curves	Grauwerte und Tonwertübertragungskurven
Halftones are used to convert images (such as photographs, drawings, logos, or charts) from the continuous tones that you see on a monitor into a pattern of dots that a printer can put on paper. Tone transfer curves are used to modify the values of a particular color component and thus adjust the look and feel of some of the colors. For example, you can apply a tone transfer curve to emphasize the brightest parts of an image.	Grauwerte dienen zum Konvertieren von Abbildern (z. B. Fotos, Zeichnungen, Logos oder Diagrammen) aus den auf einem Monitor angezeigten Halbtönen in ein Punktmuster, das ein Drucker auf Papier ausgeben kann. Tonwertübertragungskurven werden verwendet, um die Werte einer bestimmten Farbkomponente zu ändern und so die Darstellung und Funktionsweise einiger Farben anzupassen. Beispielsweise können Sie eine Tonwertübertragungskurve anwenden, um die hellsten Teile eines Abbilds hervorzuheben.
HalftonesOverviewTone transfer curvesOverviewLine screen frequency, halftonePattern, halftoneRotation, halftoneDot gain	GrauwerteÜbersichtTonwertübertragungskurvenÜbersichtLinienrasterfrequenz, GrauwertMuster, GrauwertDrehung, GrauwertPunktverstärkung
Halftones and tone transfer curves are used with both color and grayscale print jobs.	Grauwerte und Tonwertübertragungskurven werden sowohl für Farb- als auch für Graustufendruckjobs verwendet.
There are several different kinds of halftones, including clustered-dot, stochastic, and error diffusion. For simplicity, this discussion only covers clustered-dot halftones.	Es gibt verschiedene Arten von Grauwerten, darunter "clustered-dot", stochastisch und Fehlerdiffusion. Der Einfachheit halber werden hier nur "clustered-dot"-Grauwerte behandelt.
Clustered-dot halftones are generally characterized by:	"clustered-dot"-Grauwerte werden in der Regel durch Folgendes charakterisiert:
Line screen frequencyLine screen frequency is a measure of the resolution of a halftone, expressed in lines per inch (lpi). A low line screen frequency, such as 80 lpi, creates coarser images because they use larger halftone dots. A high line screen frequency, such as 150 lpi, can produce higher quality images by using smaller halftone dots.	LinienrasterfrequenzDie Rasterfrequenz ist eine Kennzahl für die Auflösung eines Grauwerts, ausgedrückt in lpi (Lines per Inch, Zeilen pro Zoll). Bei einer niedrigen Rasterfrequenz, z. B. 80 lpi, werden gröbere Abbilder erstellt, weil dafür größere Grauwertpunkte verwendet werden. Bei einer hohen Rasterfrequenz, z. B. 150 lpi, können qualitativ hochwertigere Abbilder mit kleineren Grauwertpunkten erzeugt werden.
Halftone patternHalftone dots are printed in various shapes and patterns. For example, dots can generally be round, elliptical, or square, and they can be arranged in slightly different orientations. The halftone pattern also describes how the size of the dot is increased to cover a larger percentage of the total area and yield darker colors. Different patterns might produce better results for some print jobs.	GrauwertmusterGrauwertpunkte werden in verschiedenen Formen und Mustern gedruckt. So können Punkte beispielsweise rund, elliptisch oder rechteckig sein und in geringfügig abweichenden Ausrichtungen angeordnet werden. Mit dem Grauwertmuster wird außerdem beschrieben, wie der Punkt vergrößert wird, um einen größeren Prozentsatz der gesamten Fläche zu bedecken und dunklere Farben zu erzeugen. Unterschiedliche Muster führen bei einigen Druckjobs möglicherweise zu besseren Ergebnissen.
RotationLines of halftone dots do not run parallel with the top or side of the paper because that could cause unintended patterns to emerge, resulting in lower quality output. In addition, the dots for each of the four colors in a CMYK printer cannot all be printed at the same angle because they would overlap incorrectly and the colors would not appear as intended. Instead, the lines of dots are printed on the page at specific angles so your eye blends them appropriately. For example, the black layer of an image might be printed so the lines of dots run across the page at a 45 degree angle to the top of the paper, while the cyan layer is printed so that its lines of dots are at a 105 degree angle to the top of the paper.	DrehungZeilen von Grauwertpunkten verlaufen nicht parallel zum oberen oder seitlichen Papierrand, weil dadurch unbeabsichtigte Muster entstehen könnten, die zu einer Ausgabe von geringerer Qualität führen.Außerdem können nicht alle Punkte für jede der vier Farben eines CMYK-Druckers in demselben Winkel gedruckt werden, weil sie nicht ordnungsgemäß überlappen und die Farben nicht wie beabsichtigt dargestellt würden. Stattdessen werden die Zeilen von Punkten in bestimmten Winkeln auf das Papier gedruckt, sodass sie vom menschlichen Auge entsprechend vermischt werden.Beispiel: Die schwarze Ebene eines Abbilds wird so gedruckt, dass die Zeilen von Punkten in einem Winkel von 45° zum oberen Papierrand über die Seite verlaufen. Die zyanblaue Ebene dagegen wird so gedruckt, dass die Zeilen von Punkten in einem Winkel von 105° zum oberen Papierrand verlaufen.
Tone transfer curves are most often used to offset the effects of dot gain. Dot gain is the tendency for printed dots to be larger than intended, often because of the way ink reacts with paper. If the ink soaks into the paper and spreads out, the resulting dot is much larger (and possibly much lighter in color) than the printer intended it to be. Tone transfer curves can increase or reduce the amount of ink used in proportion to the dot gain.	Tonwertübertragungskurven werden am häufigsten verwendet, um die Effekte des Punktzuwachses zu verschieben. Punktzuwachs ist die Tendenz, dass gedruckte Punkte größer als beabsichtigt sind - oft aufgrund der Art und Weise, in der die Tinte mit dem Papier reagiert. Wenn die Tinte in das Papier einzieht und sich ausbreitet, ist der resultierende Punkt viel größer (und möglicherweise viel heller in der Farbe), als vom Drucker vorgesehen. Durch Tonwertübertragungskurven kann die Menge der Tinte, die proportional zum Punktzuwachs verwendet wird, erhöht oder verringert werden.
Job containing multiple AFP files does not print	Jobs mit mehreren AFP-Dateien werden nicht gedruckt
The AFP architecture lets applications put multiple documents in a single file. The document boundaries are marked with Begin Document (BDT) and End Document (EDT) structured fields. Applications might use this function to cause finishing operations, such as stapling or binding, to operate on each document separately. However, some steps provided in many workflows supplied with  cannot process files that contain multiple documents.	Die AFP-Architektur ermöglicht Anwendungen, mehrere Dokumente zu einer Datei hinzuzufügen. Die Dokumentgrenzen werden durch die strukturierten Felder Begin Document (BDT) und End Document (EDT) markiert. Anwendungen können diese Funktion nutzen, um Nachbearbeitungsvorgänge auszulösen (beispielsweise Heften oder Binden), die für jedes Dokument separat ausgeführt werden. Einige Schritte in vielen von  bereitgestellten Workflows können jedoch keine Dateien bearbeiten, die mehrere Dokumente enthalten.
The EnableRepositioning and CreatePageRanges steps map pages to sheets so that the Jump to and Print again functions can reliably locate a page in the job and so that the CreateInserterReprints step can reprint documents that were damaged during insertion. If either of these steps processes a job containing multiple documents, an error occurs that prevents the job from printing.	Die Schritte EnableRepositioning und CreatePageRanges weisen Seiten Blättern hinzu, sodass die Funktionen Sprung zu und Erneut drucken zuverlässig eine Seite innerhalb des Jobs finden können, damit der Schritt CreateInserterReprints Dokumente erneut drucken kann, die bei der Kuvertierung beschädigt wurden. Wenn einer dieser Schritte einen Job mit mehreren Dokumenten verarbeitet hat, tritt ein Fehler auf, der das Drucken des Jobs verhindert.
You can remove these steps from the workflow being used to process the job and the job will print, but you will no longer be able to use sheet numbers or indexing tags to select pages in the viewer when using the Jump to and Print again functions. If the workflow contains the CreateInserterReprints step, do not remove the EnableRepositioning and CreatePageRanges steps because these steps are required to reprint documents damaged during insertion.	Sie können diese Schritte aus dem Jobtyp entfernen, der zum Verarbeiten des Jobs benutzt wird. Der Job wird dann gedruckt, kann jedoch keine Blattnummern oder Indexkennzeichen mehr verwenden, um bei Verwendung der Funktionen Sprung zu und Erneut drucken Seiten in der Anzeigefunktion auszuwählen. Enthält der Workflow den Schritt CreateInserterReprints, entfernen Sie die Schritte EnableRepositioning und CreatePageRanges nicht, da diese Schritte zum erneuten Drucken von während der Kuvertierung beschädigten Dokumenten erforderlich sind.
Form definitions for IBM 3935 and 3160 printers	Formdefs für Drucker IBM 3935 und 3160
form definitionIBM printer modelsIBM printer modelsF1A1BIN2F1A1BIN3F1A1BIN4F1A1BIN5	FormdefIBM DruckermodelleIBM DruckermodelleF1A1BIN2F1A1BIN3F1A1BIN4F1A1BIN5
Form definition	Formdef
Bin	Fach
Sides	Seiten
Presentation mode	Darstellungsmodus
Print direction	Druckrichtung
Page position (in inches from the top-left corner of the page)	Seitenposition (in Zoll von linker oberer Ecke der Seite)
F1A1BIN2	F1A1BIN2
12	12
1	1
Portrait	Hochformat
Across	Horizontal
0.165, 0.165	0,165, 0,165
F1A1BIN3	F1A1BIN3
3	3
1	1
Portrait	Hochformat
Across	Horizontal
0.165, 0.165	0,165, 0,165
F1A1BIN4	F1A1BIN4
4	4
1	1
Portrait	Hochformat
Across	Horizontal
0.165, 0.165	0,165, 0,165
F1A1BIN5	F1A1BIN5
5	5
1	1
Portrait	Hochformat
Across	Horizontal
0.165, 0.165	0,165, 0,165
Download input devices	Eingabeeinheiten des Typs "Download"
Download input devices receive jobs from Download for z/OS or AFP Download Plus. The device specifies a control file to change JCL parameters for a job to a job properties file in  property name=value format that the workflow uses.	Eingabeeinheiten des Typs "Download" empfangen Jobs von Download for z/OS oder AFP Download Plus. Die Einheit legt eine Steuerdatei fest, um die JCL-Parameter eines Jobs in eine vom Workflow verwendete Jobmerkmaldatei im Format  Merkmalname=Wert zu ändern.
On a Linux system, if you plan to create Download input devices and you want to receive messages from the Download daemon in a language that is different from the language that you chose when you installed the  server, set the Device language property of the input device to the appropriate language.	Wollen Sie Eingabeeinheiten des Typs "Download" erstellen und  Nachrichten von dem Download-Dämon in einer anderen als der Sprache empfangen, die bei der Installation des -Servers ausgewählt wurde,  legen Sie im Merkmal Einheitensprache der Eingabeeinheit die entsprechende Sprache fest.
Form definitions for printing on pre-punched paper	Formdefs zum Bedrucken von vorgelochtem Papier
form definitionpre-punched paperpre-punched paperF1H10110F1H10111F1H10112F1H10120F1H10121F1H10122F1H10130F1H10131F1H10132F1H10140F1H10141F1H10142F1H10150F1H10151F1H10152	Formdefvorgelochtes Papiervorgelochtes PapierF1H10110F1H10111F1H10112F1H10120F1H10121F1H10122F1H10130F1H10131F1H10132F1H10140F1H10141F1H10142F1H10150F1H10151F1H10152
Form definition	Formdef
Bin	Fach
Sides	Seiten
Presentation mode	Darstellungsmodus
Print direction	Druckrichtung
Page position (in inches from the top-left corner of the page)	Seitenposition (in Zoll von linker oberer Ecke der Seite)
F1H10110	F1H10110
1	1
1	1
Portrait	Hochformat
Across	Horizontal
1.000, 0.165	1,000, 0,165
F1H10111	F1H10111
1	1
2	2
Portrait	Hochformat
Across	Horizontal
1.000, 0.165, 0.165, 0.165	1,000 0,165 0,165 0,165.
F1H10112	F1H10112
1	1
Tumble	Kopf-an-Fuß-Duplex
Portrait	Hochformat
Across	Horizontal
1.000, 0.165, 1.000, 0.165	1,000 0,165 1,000 0,165.
F1H10120	F1H10120
2	2
1	1
Portrait	Hochformat
Across	Horizontal
1.000, 0.165	1,000, 0,165
F1H10121	F1H10121
2	2
2	2
Portrait	Hochformat
Across	Horizontal
1.000, 0.165, 0.165, 0.165	1,000 0,165 0,165 0,165.
F1H10122	F1H10122
2	2
Tumble	Kopf-an-Fuß-Duplex
Portrait	Hochformat
Across	Horizontal
1.000, 0.165, 1.000, 0.165	1,000 0,165 1,000 0,165.
F1H10130	F1H10130
3	3
1	1
Portrait	Hochformat
Across	Horizontal
1.000, 0.165	1,000, 0,165
F1H10131	F1H10131
3	3
2	2
Portrait	Hochformat
Across	Horizontal
1.000, 0.165, 0.165, 0.165	1,000 0,165 0,165 0,165.
F1H10132	F1H10132
3	3
Tumble	Kopf-an-Fuß-Duplex
Portrait	Hochformat
Across	Horizontal
1.000, 0.165, 1.000, 0.165	1,000 0,165 1,000 0,165.
F1H10140	F1H10140
4	4
1	1
Portrait	Hochformat
Across	Horizontal
1.000, 0.165	1,000, 0,165
F1H10141	F1H10141
4	4
2	2
Portrait	Hochformat
Across	Horizontal
1.000, 0.165, 0.165, 0.165	1,000 0,165 0,165 0,165.
F1H10142	F1H10142
4	4
Tumble	Kopf-an-Fuß-Duplex
Portrait	Hochformat
Across	Horizontal
1.000, 0.165, 1.000, 0.165	1,000 0,165 1,000 0,165.
F1H10150	F1H10150
5	5
1	1
Portrait	Hochformat
Across	Horizontal
1.000, 0.165	1,000, 0,165
F1H10151	F1H10151
5	5
2	2
Portrait	Hochformat
Across	Horizontal
1.000, 0.165, 0.165, 0.165	1,000 0,165 0,165 0,165.
F1H10152	F1H10152
5	5
Tumble	Kopf-an-Fuß-Duplex
Portrait	Hochformat
Across	Horizontal
1.000, 0.165, 1.000, 0.165	1,000 0,165 1,000 0,165.
Grayscale Printing Concepts	Konzepte für den Graustufendruck
With grayscale printing you can reproduce color images as high-quality black and white images by using many shades of gray to represent subtle variations in color and light. Printing solutions that produce high-quality grayscale output use color printing concepts with a black and white printer that supports them to achieve that effect.	Mit dem Graustufendruck können Sie Farbabbilder als qualitativ hochwertige Schwarz-Weiß-Abbilder reproduzieren, wobei Sie viele Grauschattierungen für die Darstellung feiner Varianten in Farbe und Helligkeit verwenden können. Drucklösungen, bei denen qualitativ hochwertige Graustufenausgaben erzeugt werden, verwenden Farbdruckkonzepte mit einem Schwarz-Weiß-Drucker, der sie bei der Erzielung des gewünschten Effekts unterstützt.
Grayscale printing ConceptsPrinting Grayscale conceptsColor spacesGrayscale printingICC profilesGrayscale printingHalftonesGrayscale printingTone transfer curvesGrayscale printing	Graustufendruck KonzepteDruckt GraustufenkonzepteFarbbereicheGraustufendruckICC-ProfileGraustufendruckGrauwerteGraustufendruckTonwertübertragungskurvenGraustufendruck
Moving to grayscale printing might be a first step in a migration to full color printing. You can start to create color print jobs and print them on an existing printer until you are ready to invest in color printers. In addition, you can use a grayscale printer as a backup system for a full color printer.	Der Übergang zum Graustufendruck könnte ein erster Schritt bei der Migration zum Vollfarbdruck sein. Sie können zunächst Farbdruckjobs erstellen und auf einem vorhandenen Drucker drucken, bis Sie für eine Investition in Farbdrucker bereit sind. Darüber hinaus können Sie einen Graustufendrucker als Ausweichsystem für einen Vollfarbdrucker verwenden.
Some color concepts are much less important in grayscale printing than they are in color printing:	Einige Farbkonzepte sind beim Graustufendruck wesentlich unwichtiger als beim Farbdruck:
The gamut of a black and white printer is much smaller than that of a color printer; essentially all the colors in an image must be adjusted.	Die Farbskala eines Schwarz-Weiß-Druckers ist viel kleiner als diejenige eines Farbdruckers; im Grunde genommen müssen sämtliche Farben in einem Abbild angepasst werden.
The rendering intent you choose has little effect on the appearance of the image because the colors are already being changed significantly.	Die ausgewählte Farbwiedergabebereitschaft wirkt sich auf die Darstellung des Abbilds nur geringfügig aus, weil die Farben bereits erheblich geändert werden.
Page registration is less important. Because the printer only uses one color, you do not have to line up the color planes to create the correct color.	Die Farbdichtesteuerung ist weniger wichtig. Weil der Drucker nur eine einzige Farbe verwendet, müssen Sie die Farbspeicher nicht ausrichten, um die korrekte Farbe zu erstellen.
Paper characteristics have minimal effect on grayscale output; one output profile is usually adequate for all types of paper.	Die Papiermerkmale haben nur minimale Auswirkung auf die Ausgabe in Graustufen; in der Regel reicht ein einziges Ausgabeprofil für alle Papiertypen aus.
Other color concepts are more essential to grayscale printing.	Andere Farbkonzepte sind für den Graustufendruck wesentlich wichtiger.
Color spaces and ICC profilesThe color space of a black and white printer is much smaller than that of a color printer. Even so, printers that can print grayscale images have output ICC profiles, just like color printers. The ICC profiles for black and white printers map colors from the profile connection space (PCS) to shades of gray. Otherwise, the color conversion process is the same. The print job should specify the appropriate input profile; if there is no input ICC profile, the printer uses a reasonable default. The printer has its own default ICC profile installed and available; it should be adequate for nearly all print jobs.	Farbbereiche und ICC-ProfileDer Farbbereich eines Schwarz-Weiß-Druckers ist viel kleiner als derjenige eines Farbdruckers. Trotzdem verfügen Drucker, die Graustufenabbilder drucken können, genauso wie Farbdrucker über ICC-Ausgabeprofile. Die ICC-Profile für Schwarzweißdrucker ordnen PCS-Farben zu Graustufen zu. Ansonsten ist der Farbkonvertierungsprozess der gleiche.Im Druckjob sollte das entsprechende Eingabeprofil angegeben werden; wenn es kein ICC-Eingabeprofil gibt, verwendet der Drucker eine angemessene Standardeinstellung. Der Drucker verfügt über ein eigenes installiertes ICC-Standardprofil, das für fast alle Druckjobs ausreichen sollte.
HalftonesGrayscale printers apply halftones to print jobs to print them; halftones let the printer produce many shades of gray and high-quality images. Generally, the most important characteristic to consider for halftones in grayscale printing is line screen frequency, expressed in lines per inch (lpi). Each printer supports a set of line screen frequencies natively; when you specify the desired line screen frequency in a print job, the printer chooses the available line screen frequency that best matches it.	GrauwerteGraustufendrucker wenden Grauwerte auf Druckjobs an, um sie zu drucken; mithilfe von Grauwerten kann der Drucker viele qualitativ hochwertige Graustufen und Abbilder erzeugen. Im Allgemeinen muss beim Graustufendruck als wichtigstes Merkmal für Grauwerte die Rasterfrequenz, ausgedrückt in lpi (lines per inch, Zeilen pro Zoll), berücksichtigt werden. Jeder Drucker unterstützt nativ eine Reihe von Rasterfrequenzen. Wenn Sie die gewünschte Rasterfrequenz in einem Druckjob angeben, wählt der Drucker die am besten übereinstimmende verfügbare Rasterfrequenz aus.
Tone transfer curvesTone transfer curves are used in grayscale printing to adjust the amount of toner that is used at different levels of gray, thus adjusting the appearance of images. You can use the appearance value of a tone transfer curve in grayscale printing to indicate how much the tone transfer curve should adjust the color values. Some sample appearance values could be:	TonwertübertragungskurvenTonwertübertragungskurven dienen beim Graustufendruck zum Anpassen der Tonermenge, die in verschiedenen Ebenen von Grau verwendet wird, und damit zum Anpassen der Darstellung von Abbildern. Sie können den Darstellungswert einer Tonwertübertragungskurve beim Graustufendruck nutzen, um anzugeben, in welchem Maß die Kurve die Farbwerte anpassen soll. Beispiele für Darstellungswerte umfassen:
Dark	Dunkel
Highlight Midtone	Mittlere Töne hervorheben
Standard	Standard
Tips for Resources	Tipps für Ressourcen
To optimize the performance of your AFP color printing system, we recommend that you follow some guidelines for managing color resources.	Zum Optimieren der Leistung des AFP-Farbdrucksystems wird empfohlen, einige Richtlinien zum Verwalten von Farbressourcen zu beachten.
ResourcesColor printing tips	RessourcenTipps zum Farbdruck
You can use  to:	Mithilfe von  können Sie folgende Aufgaben ausführen:
Install all the CMRs for your printer in a resource library.	Alle CMRs für den Drucker in einer Ressourcenbibliothek installieren
Install the data objects that you use frequently in a resource library.	Die häufig verwendeten Datenobjekte in einer Ressourcenbibliothek installieren
Mark the CMRs and data objects that are reused regularly as non-private, capturable resources so they can be saved on the printer and used for other print jobs without being downloaded every time.	Die regelmäßig wiederverwendeten CMRs und Datenobjekte als nicht private, speicherbare Ressourcen kennzeichnen, damit sie auf dem Drucker gespeichert und für weitere Druckjobs verwendet werden können, ohne dass sie jedes Mal erneut heruntergeladen werden müssen
This option is not advisable for secure resources, such as signature files.	Diese Option empfiehlt sich nicht für sichere Ressourcen wie Signaturdateien.
Install CMRs and data objects in resource libraries that the print server can access, so they only need to be stored in one place and can be used by all print servers.	Installieren von CMRs und Datenobjekten in Ressourcenbibliotheken, auf die der Druckserver zugreifen kann. Auf diese Weise müssen sie nur an einer einzigen Stelle gespeichert werden und stehen für alle Druckserver zur Verfügung.
Associate audit color conversion CMRs with data objects that require color management, so the embedded profiles can be removed from the image files.	Zuordnen von CMRs zur Farbkonvertierung für Prüfungen zu Datenobjekten, bei denen Farbmanagement erforderlich ist, damit die eingebetteten Profile aus den Abbilddateien entfernt werden können.
Errors in barcodes that include job properties	Fehler in Barcodes mit Jobmerkmalen
You can use AFP Editor to create barcodes, including barcodes that contain property values. However, some of the properties presented in the list in AFP Editor might not have values when the EditAFP step runs. If a property does not have a value when the EditAFP step runs, the barcode is created with no value for that property; spaces or blanks are not substituted for the empty value. If the property value is the only element in the barcode and the value is empty, no barcode is created.	Sie können AFP Editor zur Erstellung von Barcodes nutzen, darunter auch Barcodes, die Jobmerkmale enthalten. Einige in der Liste in AFP Editor aufgeführten Merkmale verfügen jedoch möglicherweise nicht über Werte, wenn der Schritt EditAFP ausgeführt wird. Wenn ein Merkmal bei der Ausführung des Schritts EditAFP keinen Wert hat, wird der Barcode ohne Wert für das Merkmal erstellt. Leerstellen werden für den leeren Wert nicht unterstützt. Wenn der Merkmalwert das einzige Element im Barcode ist und der Wert leer ist, wird kein Barcode erstellt.
InsertCMR	InsertCMR
A step that is based on this step template inserts a color management resource that meets your specifications into a job.	Ein Schritt, der auf dieser Schrittschablone basiert, fügt eine Farbmanagementressource in einen Job ein, die Ihren Anforderungen entspricht.
Job property defaults	Standardwerte für Jobmerkmale
Audit color CMR:	Farb-CMR zur Prüfung:
Audit grayscale CMR:	Graustufen-CMR zur Prüfung:
Color mode: Color	Farbmodus: Farbe
External command: insrtcmr -riall ${Job.CMR.RenderingIntent} -i -m ${Job.CMR.Mode} -o ${getFileName(print,afp,write)} ${getAbsoluteFileName(print,afp,read)}	Externer Befehl: insrtcmr -riall ${Job.CMR.RenderingIntent} -i -m ${Job.CMR.Mode} -o ${getFileName(print,afp,write)} ${getAbsoluteFileName(print,afp,read)}
Ink type: Pigment	Tintentyp: Pigment
Instruction color CMR:	Farb-CMR für Anweisungen:
Instruction grayscale CMR:	Graustufen-CMR für Anweisungen:
Processing mode: Audit	Verarbeitungsmodus: Prüfung
Printer type: InfoPrint 5000 - 32/64 m/min	Druckertyp: InfoPrint 5000 - 32/64 m/min
Rendering intent: Not Set	Wiedergabeabsicht: Nicht festgelegt
Valid return codes: 0	Gültige Rückkehrcodes: 0
Usage notes	Hinweise zur Verwendung
The available values for the Audit color CMR, Audit grayscale CMR, Instruction color CMR, and Instruction grayscale CMR properties change based on the value selected for the Printer type property.	Die verfügbaren Werte der Merkmale Farb-CMR zur Prüfung, Graustufen-CMR zur Prüfung, Farb-CMR für Anweisungen und Graustufen-CMR für Anweisungen ändern sich je nach den ausgewählten Werten für das Merkmal Druckertyp.
This step can only insert one CMR in a job. To insert both an audit and an instruction CMR in a job, add two instances of this step to a workflow.	Dieser Schritt kann nur eine CMR in einen Job einfügen. Um sowohl eine CMR zur Prüfung als auch für Anweisungen in einen Job einzufügen, fügen Sie zwei Instanzen dieses Schritts zu einem Workflow hinzu.
AFP color and grayscale solutions	AFP-Farb- und Graustufenlösungen
You can assemble printing products from  and other companies in different configurations to support Advanced Function Presentation (AFP) color and grayscale printing, including configurations that use the AFP Color Management Object Content Architecture (CMOCA) to provide optimal performance and color accuracy in high-speed color printing.	Sie können Druckprodukte von  und anderen Herstellern in unterschiedlichen Konfigurationen zusammenbauen, um AFP-Farb- und -Graustufendruck zu unterstützen. Hierzu gehören beispielsweise Konfigurationen, die die AFP Color Management Object Content Architecture (CMOCA) verwenden, um eine optimale Leistung und Farbgenauigkeit beim Hochgeschwindigkeits-Farbdruck bereitzustellen.
color printingsolutionsgrayscale printingsolutionsprintingsolutions, color and grayscaleColor Management Object Content ArchitectureCMOCA	FarbdruckLösungenGraustufendruckLösungenDruckenLösungen, Farbe und GraustufenColor Management Object Content ArchitectureCMOCA
